,Title,Date,Time,Score,Comments
236,"Florida On Fire: A total of 105 active wildfires, spanning some 17,092 acres rage across Florida.",14-04-2017,17:43:49,7,3
237,NYCs Newest Weapon Against the Rats? Sterilization,14-04-2017,17:34:25,6,0
238,"Woman, 74, sues after sting and tough questioning over moon rock",14-04-2017,04:53:54,49,11
239,Woman jailed after police say she lied about being raped at Texas park,14-04-2017,03:08:09,68,11
240,CIA director Pompeo denounces WikiLeaks as Hostile Intelligence Service,14-04-2017,14:10:22,8,21
241,Strangers tip waitress enough to pay off college debt,14-04-2017,05:44:28,43,25
242,Nasa announce one of Saturns moons could support alien life in our solar system,13-04-2017,22:09:28,160,32
243,Kim Jong-un orders evacuation of Pyongyang,14-04-2017,14:59:31,6,45
244,"Students protest teachers firing, given detentions and suspensions.",14-04-2017,05:50:50,35,8
245,Ballooning bills - More U.S. hospitals pushing patients to pay before care,13-04-2017,17:53:45,307,158
246,Chechens tell of prison beatings and electric shocks in anti-gay purge: They called us animals,13-04-2017,20:47:58,176,1
247,Police: No signs of criminality in New York judges death,13-04-2017,17:16:42,311,104
248,China Warns of Storm Clouds Gathering in U.S.-North Korea Standoff,14-04-2017,18:25:08,1,6
249,Four people shot aboard metro transit train in Atlanta,14-04-2017,03:07:23,48,13
250,Family of former Tenn. teacher accused of kidnapping student: Daddy...we just want you to come home,14-04-2017,12:00:20,10,2
251,Scientists Announce That The Great Barrier Reef is Officially Terminal,13-04-2017,03:44:59,3668,494
252,Trumps Mar-a-Lago kitchen cited for food safety violations - BBC News,13-04-2017,20:30:55,154,36
253,"New Pulse review from Orlando police reveals details, lessons learned",14-04-2017,15:02:44,5,0
254,"Delta Airlines gives family $14,600 for being bumped off short flight",13-04-2017,07:51:01,1576,324
255,Uber may face $1 million fine over California drunken-driving complaints,14-04-2017,13:09:52,7,1
256,"Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way",13-04-2017,00:05:13,15373,882
257,"The bodies of four men, all described as having suffered significant trauma, were discovered in a park in a suburban New York neighborhood that has for years contended with a growing problem of gang violence.",13-04-2017,18:10:14,208,109
258,Detroit-Area Doctor Charged With Performing Female Genital Mutilation - First Ever Charged under Statute,13-04-2017,20:01:59,146,45
